Дата,Участок,Наименование оборудования,Узел,Описание коренной причины,Работы по устранению неисправностей,description,recommendation
2020-04-09 00:00:00,ЭТЛ,ШУ1,Система бесперибойного питания платформы автоматизации    S7-300,Низкое напряжение аккумуляторов ИБП,Замена аккумуляторов ИБП,ЭТЛ ШУ1 Система бесперибойного питания платформы автоматизации    S7-300 Низкое напряжение аккумуляторов ИБП,Замена аккумуляторов ИБП
2020-04-09 00:00:00,ЭТЛ,ШУ2,Система автоматизации    S7-300,Отказ электронной платы блока питания,Замена стабилизированного блока питания PS307; восстановление схемы заземления согласно руководства на оборудование,ЭТЛ ШУ2 Система автоматизации    S7-300 Отказ электронной платы блока питания,Замена стабилизированного блока питания PS307; восстановление схемы заземления согласно руководства на оборудование
2020-04-15 00:00:00,ЭТЛ,Термомаслянная котельная,Система автоматического заполнения расходного бака дизельного топлива термомаслянной котельной,Разрыв внутренней мембраны,Замена мембраны электромагнитного клапана,ЭТЛ Термомаслянная котельная Система автоматического заполнения расходного бака дизельного топлива термомаслянной котельной Разрыв внутренней мембраны,Замена мембраны электромагнитного клапана
2020-04-21 00:00:00,ЭТЛ,ШУ Грантол,Система управления,Отказ электронной платы контроллера,Заказан новый для замены; заказан кабель для программирования,ЭТЛ ШУ Грантол Система управления Отказ электронной платы контроллера,Заказан новый для замены; заказан кабель для программирования
2020-05-17 00:00:00,ЭТЛ,Собственные нужды ДГУ1,Система управления задвижкой на входе котла СУТ,Отказ электронной платы управления привода,Установка более надежного привода Auma SG 05.1-F07,ЭТЛ Собственные нужды ДГУ1 Система управления задвижкой на входе котла СУТ Отказ электронной платы управления привода,Установка более надежного привода Auma SG 05.1-F07
2020-05-18 00:00:00,ЭТЛ,Собственные нужды ДГУ2,Система учета количества кКал на выходе котла СУТ,Отказ электронной платы теплосчетчика,Заказан новый для замены,ЭТЛ Собственные нужды ДГУ2 Система учета количества кКал на выходе котла СУТ Отказ электронной платы теплосчетчика,Заказан новый для замены
2020-05-27 00:00:00,ЭТЛ,ШУ1,Система обогрева трубопроводов,Отказ электронной платы регулятора,"Рекламация, замена/ремонт по гарантии",ЭТЛ ШУ1 Система обогрева трубопроводов Отказ электронной платы регулятора,"Рекламация, замена/ремонт по гарантии"
2020-06-03 00:00:00,ЭТЛ,Собственные нужды ДГУ2,Система управления задвижкой на входе котла СУТ,Отказ электронной платы управления привода,Установка более надежного привода Auma SG 05.1-F07,ЭТЛ Собственные нужды ДГУ2 Система управления задвижкой на входе котла СУТ Отказ электронной платы управления привода,Установка более надежного привода Auma SG 05.1-F07
2020-06-10 00:00:00,ЭТЛ,Бустерный модуль,Система подачи МТ,Облом шестерни,"Рекламация, замена/ремонт по гарантии",ЭТЛ Бустерный модуль Система подачи МТ Облом шестерни,"Рекламация, замена/ремонт по гарантии"
2020-06-29 00:00:00,ЭТЛ,ДГУ3,Ситсема безопасности ДГУ,Повреждение кабеля подключения,Замена реле давления и кабеля подключения,ЭТЛ ДГУ3 Ситсема безопасности ДГУ Повреждение кабеля подключения,Замена реле давления и кабеля подключения
